titulo,categoria,categorias_adicionales,descripcion,telefono,direccion,ciudad,codigo_postal,region,pais,latitud,longitud,rating,cantidad_reviews,url,dominio,cid,place_id,verificado,estado_actual,logo,imagen_principal,total_fotos,nivel_precio,hotel_rating
Cle Cafe Boulangerie Et Deli,Cafe,"Bakery, Breakfast restaurant, Brunch restaurant, Cake shop, Deli, Restaurant","Restaurante, cafetería, panadería y pastelería francesa.",5491142546582,"Almte. Brown 803, B1878 Quilmes, Provincia de Buenos Aires",Quilmes,,Buenos Aires Province,AR,-34.7248344,-58.254180399999996,4.3,2268,https://www.instagram.com/clecafeboulangerie/,www.instagram.com,2432321121674707027,ChIJucKxYkEuo5URU8AZVSxXwSE,True,close,https://lh6.googleusercontent.com/-Gc40VrzYNWk/AAAAAAAAAAI/AAAAAAAAAAA/4CH64yplNYM/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipMpT1t_jMn6pNg0a3HLLmGSbU4GbEgE79lfRzSO=w408-h544-k-no,1147,moderate,
El Puntal de Nuñez,Cafeteria,"Hamburger restaurant, Restaurant","Cafetería, restaurante, hamburguesería y bar.",5491147031428,"Ramallo 2104, C1429 DUJ, Cdad. Autónoma de Buenos Aires",DUJ,C1429,Buenos Aires,AR,-34.5416677,-58.4696767,4.1,2266,http://www.facebook.com/elpuntaldenunez,www.facebook.com,17510175472243755168,ChIJb4GqPaK2vJURoMjYsdGjAPM,True,open,https://lh6.googleusercontent.com/-En8fa7LYysc/AAAAAAAAAAI/AAAAAAAAAAA/ywszlkhe1Gg/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq5WscPa71VGxR4w_JZPcq-imqAqNIzKbutzrHldCPkGYxYPes58QA3_AmWQ9wAyoxTrnllXTdOgUSt3jw9PwnEH_3oeLxwZ4xItdvPo9FsFnAaW6czCdhO7kjUX_fWRjULlCQPpw=w408-h306-k-no,374,moderate,
Bodegón Los 3 Amigos,Restaurant,,,5491147094429,"DAP, Zufriategui 3810, B1603 Villa Martelli, Provincia de Buenos Aires",Villa Martelli,B1603,Buenos Aires Province,AR,-34.5506925,-58.503019699999996,4.2,2264,,,13600720442365767062,ChIJd4vwd962vJURlu2awC53v7w,True,close,https://lh5.googleusercontent.com/-yk40nvPvB1s/AAAAAAAAAAI/AAAAAAAAAAA/e7O3vA3lFY4/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4novXr2ufRjSI9DKTX32VTaH0bo95Fs9-47xMWr2uLKuKQSW0LUuXU-jcarAAWBaZTGOcZGY0tdxwqsHciQTlBtTHeboQQ7xj5N41wDcZ_5Os7KUB7E-mhEYuKbRzrTAEdPekbDpIQ=w408-h306-k-no,488,moderate,
Boyacá Sazón Latina,Restaurant,,Restaurante de Comida Venezolana,5491150185862,"Mario Bravo 1068, C1175ABT Cdad. Autónoma de Buenos Aires",Buenos Aires,C1175,Buenos Aires,AR,-34.5971483,-58.415864299999996,4.6,2260,https://menu.fu.do/boyacasazonlatina,menu.fu.do,5430405848486656763,ChIJH5MKLJ-1vJUR-zpAAVmtXEs,True,close,https://lh4.googleusercontent.com/-N7ujE1-EGfs/AAAAAAAAAAI/AAAAAAAAAAA/4SsbM8bxs0g/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npsepIONLBkFEflWQwERNQaN6HWrTIYFDLk6Wu1BkS_wgEK_Q3LDZNYzL63u69RRVn6k-awsBCJusRDR1DOqN0tXMdurfNbdPLXCPi1GZVnw7HcL4bp21-s0NmkTe8m15oGbLr5NQ=w408-h307-k-no,875,moderate,
Cheka Ramos,Bar,Restaurant,,5491127046172,"Leandro N. Alem 267, B1704 Ramos Mejía, Provincia de Buenos Aires",Ramos Mejía,B1704,Buenos Aires Province,AR,-34.6404395,-58.566658,4.2,2258,https://instagram.com/cheka_ramos_mejia?igshid=aoke0k86deo,instagram.com,2612206466001468594,ChIJs4PuWCjHvJURsvz-1fBrQCQ,True,close,https://lh4.googleusercontent.com/-FvBFh1djf74/AAAAAAAAAAI/AAAAAAAAAAA/X43EAmHc9eM/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOJZFU0jEzH3Cy1bI19urOjMLObxJ5oKkv8XB5i=w408-h306-k-no,850,moderate,
Cholo Con Che,Restaurant,,,5491138643616,"Agüero 520, C1194 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1194,Buenos Aires,AR,-34.6037105,-58.4118691,4.1,2255,,,5854763443290529544,ChIJ1xjH8ozKvJURCF9G8VRMQFE,True,close,https://lh6.googleusercontent.com/-NPoMciT4Ins/AAAAAAAAAAI/AAAAAAAAAAA/0PCbKQF8LpQ/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq6xliwwvGWFEqtptVpksfae_qeddh3otDClISJFNAwxGTr__o_XPqlXkFf06T9UBOYRTXWoXnI2YY4H0pi9_Op3nRABQILf7bOX2Ldxzc6hYxM7zvp1_wKTrHs1_cpr4eh3aMmRA=w520-h240-k-no,1072,moderate,
El Barrilito,Restaurant,"Bar, Pizza restaurant",,5491134553430,"Av. Combatientes de Malvinas 3401, C1431FTA Cdad. Autónoma de Buenos Aires",Buenos Aires,C1431,Buenos Aires,AR,-34.5796032,-58.475637,4.3,2250,,,9548290778115248608,ChIJn0kA5G22vJUR4JGyqd9XgoQ,True,open,https://lh5.googleusercontent.com/-cxC-3Z5Zxrg/AAAAAAAAAAI/AAAAAAAAAAA/4OkFlSs-e-c/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipN1JPn0nd92HAuN4LZpsiCKK1NRbJrtEPoCys9z=w408-h497-k-no,702,moderate,
El Club de la Milanesa - Munro,Restaurant,,,,"Av. Bartolomé Mitre 2180, B1605CWJ Munro, Provincia de Buenos Aires",Munro,B1605,Buenos Aires Province,AR,-34.530023899999996,-58.5162452,4.5,2247,https://bit.ly/PediOnlineMunro,bit.ly,18301862471540937173,ChIJfYIxPuCxvJUR1RFAUPNG_f0,True,open,https://lh5.googleusercontent.com/-qUVkSlkMaGE/AAAAAAAAAAI/AAAAAAAAAAA/5Bbs5ablews/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOkS2B4kC-dSI0TApqUYPljIEn8nA8_ay6OTYi8=w408-h544-k-no,637,moderate,
Cartago Comida Árabe,Middle Eastern restaurant,Restaurant,,5491148339321,"Av. Raúl Scalabrini Ortiz 1601, C1414DOD Cdad. Autónoma de Buenos Aires",Buenos Aires,C1414,Buenos Aires,AR,-34.5909072,-58.4246851,4.1,2246,https://www.rappi.com.ar/restaurantes/119848-cartago,www.rappi.com.ar,12913491418829816164,ChIJ6xlFkXjKvJURZAFo3QbwNbM,True,close,https://lh5.googleusercontent.com/-nN-BhrL_6iw/AAAAAAAAAAI/AAAAAAAAAAA/Xlv3-h2_DAk/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4notG7geb-XyUD3hYo3v_Ks7dwpQaBpE9qBUHNdMSmNkk9ZSYXHWd1u5jf95yBwdqVb5ipkDTRuKTkAfhm_CypgPiwmtaOkSvOHOETzsjceaMxdvUaBB8FXRGNIOEzpl9wL9mKcTdg=w455-h240-k-no,616,inexpensive,
Salve Cocina,Restaurant,,Moderna cocina hispánica.,5491138880056,"Emilio Mitre 301, C1424 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1424,Buenos Aires,AR,-34.6253939,-58.4434264,4.5,2245,,,320084131464464666,ChIJQWAWFifLvJURGsktWtIqcQQ,True,close,https://lh3.googleusercontent.com/-et3in3Cddms/AAAAAAAAAAI/AAAAAAAAAAA/nOKbPkdQ1LY/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrGqXsCqZPjJdSrCc3uUwkgOvYzqwW2d1Fcctw1vABhKFUL5SjDvzy6XCjj1Yif5qAOYb4_Vc7vRuw6lz3jf9PPBFmeNMrP6sxhdWRVfgGBxtv7_mGeLLWu3U36UcUSU8Atatig=w408-h544-k-no,1026,moderate,
